,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
184,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
185,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
186,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
187,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
188,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
189,Ford,EcoSport,"{{cityName}},",{{transmission}},|,"54,120",{{color}},5,23,5.99,7.09
190,Hyundai,i20,"{{cityName}},",{{transmission}},|,"13,616",{{color}},5,18.15,4.97,4.57
191,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
192,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
193,Honda,Civic,First,"29,000",Petrol,2019,Silver,5,16.5,16.9,17.02
194,Ford,Endeavour,First,"61,000",Diesel,2021,Gold,7,12.62,37,35.39
195,Maruti,Suzuki,First,"27,585",Petrol,2017,Blue,5,23.1,4.95,4.51
196,Hyundai,Santa,Second,"54,000",Diesel,2015,Black,7,4WD,14.85,13.5
197,Honda,City,First,"60,381",Petrol,2015,Grey,5,FWD,6.5,6.78
198,Mercedes-Benz,SLK-Class,Second,"52,000",Petrol,2010,White,2,7.6,23,21.43
199,Land,Rover,First,"30,000",Diesel,2018,White,5,Automatic,1.11,1.09
200,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
201,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"10,519",{{color}},5,20.52,6.8,7.75
202,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
203,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
204,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
205,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
206,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
207,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
208,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
209,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
210,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
211,Honda,CR-V,"{{cityName}},",{{transmission}},|,"62,577",{{color}},5,13.69999981,8.67,10.84
212,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
213,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
214,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
215,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
216,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
217,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
218,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
219,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
220,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
221,Volkswagen,Ameo,Second,"64,500",Petrol,2016,Others,5,17.83,4.1,4.87
222,Maruti,Suzuki,First,"91,114",Diesel,2014,Others,5,23.4,5.52,4.73
223,Hyundai,Elite,First,"59,235",Petrol,2015,Blue,5,18.6,4.99,5.35
224,Honda,City,First,"58,378",Petrol,2015,Brown,5,FWD,5.25,6.17
225,Skoda,Superb,First,"44,000",Petrol,2017,White,5,14.81,17.5,21.12
226,Land,Rover,First,"30,000",Diesel,2018,White,5,Automatic,1.11,1.09
227,Hyundai,Grand,First,"23,000",Petrol,2017,White,5,19.77,4.4,4.63
228,Ford,Endeavour,"{{cityName}},",{{transmission}},|,"78,000",{{color}},7,10.91,26,22.01
229,Mercedes-Benz,C-Class,First,"24,000",Diesel,2019,Silver,5,12.06,38.15,36.71
230,Toyota,Fortuner,First,"8,000",Diesel,2021,Black,7,14.2,47.45,46.56
231,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
232,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
233,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
234,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
235,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
236,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
237,Hyundai,Santro,"{{cityName}},",{{transmission}},|,"2,963",{{color}},5,20,5.53,6.5
238,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
239,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
240,Hyundai,Verna,"{{cityName}},",{{transmission}},|,"9,434",{{color}},5,FWD,10.37,10.58
241,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
242,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
243,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
244,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"49,870",{{color}},5,30.47,5.6,5.8
245,Tata,Altroz,"{{cityName}},",{{transmission}},|,"7,956",{{color}},5,19.05,7.48,6.01
246,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
247,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
